unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,
577,,1,,,,,,,,,,,,,,,,,,,
578,1,,,,,,,,,,,,,,,,,,,,
579,1,,,,,,,,,,,,,,,,,,,,
580,1,,,,,,,,,,,,,,,,,,,,
581,1,,,,,,,,,,,,,,,,,,,,
582,1,,,,,,,,,,,,,,,,,,,,
583,1,,,,,,,,,,,,,,,,,,,,
584,1,,,,,,,,,,,,,,,,,,,,
585,1,,,,,,,,,,,,,,,,,,,,
586,1,,,,,,,,,,,,,,,,,,,,
587,,1,,,,,,,,,,,,,,,,,,,
588,,1,,,,,,,,,,,,,,,,,,,
589,,,1,,,,,,,,,,,,,,,,,,
590,,,,1,,,,,,,,,,,,,,,,,
591,,,,,1,,,,,,,,,,,,,,,,
592,,,,,,1,,,,,,,,,,,,,,,
593,,,,,,,1,,,,,,,,,,,,,,
594,,,,,,,1,,,,,,,,,,,,,,
595,,,,,,,,,1,,,,,,,,,,,,
596,,,,,,,,,,1,,,,,,,,,,,
